chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757122	757194	1	0	2	1.4	1.4	0:U,1:U,4:U,5:U,7:U,9:U,18:M,24:M,27:M,28:M,29:M,30:M,36:M,37:M,39:M,40:M,41:M,42:M,43:M,44:M,49:M,51:M,53:M,55:M,57:M,58:M,60:M,63:M,72:M
1	757125	757223	1	2	7	3.96667	3.96667	1:U,2:U,4:U,6:U,15:U,21:U,24:U,25:U,26:U,27:U,33:U,34:U,36:U,37:U,38:U,39:U,40:U,41:U,46:U,48:U,50:U,52:U,54:U,55:U,57:U,60:U,69:U,72:U,73:U,77:U,79:U,81:U,83:U,86:U,88:U,91:U,95:U,96:U
1	757130	757199	1	3	1	1	0.0671167	1:M,10:M,16:M,19:M,20:M,21:M,22:M,28:M,29:M,31:M,32:M,33:M,34:M,35:M,36:M,41:M,43:M,45:M,47:M,49:M,50:M,52:M,55:M,64:M,67:M,68:M
1	757134	757203	1	5	1	0.666667	0.666667	6:U,12:U,15:U,16:U,17:U,18:U,24:U,25:U,27:U,28:U,29:U,30:U,31:U,32:U,37:U,39:U,41:U,43:U,45:U,46:U,48:U,51:U,60:M,63:M,64:M,68:M
1	757132	757201	1	4	1	1	1	8:M,14:M,17:M,18:M,19:M,20:M,26:M,27:M,29:M,30:M,31:M,32:M,33:M,34:M,39:M,41:M,43:M,45:M,47:M,48:M,50:M,53:M,62:M,65:M,66:M
1	757163	757232	1	19	1	1	1.24269	0:U,1:U,2:U,3:U,8:U,10:U,12:U,14:U,16:U,17:U,19:U,22:U,31:U,34:U,35:U,39:U,41:U,43:U,45:U,48:U,50:U,53:U,57:U,58:U,69:U
1	757177	757246	1	22	1	0.666667	1.22837	0:U,2:U,3:U,5:U,8:U,17:U,20:U,21:U,25:U,27:U,29:U,31:U,34:U,36:U,39:U,43:U,44:U,55:M,56:M,60:M,62:M,64:M,65:M,66:M
1	757203	757272	1	30	1	1	1	1:U,3:U,5:U,8:U,10:U,13:U,17:U,18:U,29:M,30:M,34:M,36:M,38:M,39:M,40:M,53:U,55:U,57:U,58:U,60:U,61:U,63:U,64:U,68:U
1	757138	757221	1	7	2	1.33333	1.33333	2:U,8:U,11:U,12:U,13:U,14:U,20:U,21:U,23:U,24:U,25:U,26:U,27:U,28:U,33:U,35:U,37:U,39:U,41:U,42:U,44:U,47:U,56:M,59:M,60:M,64:M,66:M,68:M,70:M,73:M,75:M,78:M,82:M,83:M
1	757200	757269	1	29	1	1	1	2:U,4:U,6:U,8:U,11:U,13:U,16:U,20:U,21:U,32:U,33:U,37:U,39:U,41:U,42:U,43:U,56:M,58:M,60:M,61:M,63:M,64:M,66:M,67:M
1	757134	757203	1	6	1	0.666667	1.473	6:M,12:M,15:M,16:M,17:M,18:M,24:M,25:M,27:M,28:M,29:M,30:M,31:M,32:M,37:M,39:M,41:M,43:M,45:M,46:M,48:M,51:M,60:M,63:M,64:M,68:M
1	757219	757288	1	35	1	1	0.75433	1:U,2:U,13:U,14:U,18:U,20:U,22:U,23:U,24:U,37:U,39:U,41:U,42:U,44:U,45:U,47:U,48:U,52:U,54:U,55:U,56:U,57:U,58:U,59:U,61:U,62:U,66:U,69:U
1	757197	757266	1	27	1	0.666667	0.642561	0:U,1:U,5:U,7:U,9:U,11:U,14:U,16:U,19:U,23:U,24:U,35:M,36:M,40:M,42:M,44:M,45:M,46:M,59:M,61:M,63:M,64:M,66:M,67:M,69:M
1	757228	757305	1	38	2	2	2.20762	4:M,5:M,9:M,11:M,13:M,14:M,15:M,28:U,30:U,32:U,33:U,35:U,36:U,38:U,39:U,43:U,45:U,46:U,47:U,48:U,49:U,50:U,52:U,53:U,57:U,60:U,63:U,66:U,68:U,70:U,71:U,72:U,76:U
1	757174	757243	1	21	1	1	0.70633	1:U,3:U,5:U,6:U,8:U,11:U,20:M,23:M,24:M,28:M,30:M,32:M,34:M,37:M,39:M,42:M,46:M,47:M,58:M,59:M,63:M,65:M,67:M,68:M,69:M
1	757191	757285	1	25	2	2	2	3:M,6:M,7:M,11:M,13:M,15:M,17:M,20:M,22:M,25:M,29:M,30:M,41:U,42:U,46:U,48:U,50:U,51:U,52:U,65:M,67:M,69:M,70:M,72:M,73:M,75:M,76:M,80:M,82:M,83:M,84:M,85:M,86:M,87:M,89:M,90:M,94:M
1	757208	757277	1	32	1	1	1.46728e-31	0:M,3:M,5:M,8:M,12:M,13:M,24:U,25:U,29:U,31:U,33:U,34:U,35:U,48:U,50:U,52:U,53:U,55:U,56:U,58:U,59:U,63:U,65:U,66:U,67:U,68:U,69:U
1	757269	757348	1	56	4	5	0.153907	2:U,4:U,5:U,6:U,7:U,8:U,9:U,11:U,12:U,16:U,19:U,22:U,25:U,27:U,29:U,30:U,31:U,35:U,37:U,38:U,39:U,41:U,44:U,45:U,49:U,50:U,51:U,52:U,54:U,55:U,56:U,58:U,59:U,64:U,68:U,69:U,70:U,72:U,73:U,74:U
1	757223	757311	1	36	6	6	3.3913	9:U,10:U,14:U,16:U,18:U,19:U,20:U,33:M,35:M,37:M,38:M,40:M,41:M,43:M,44:M,48:M,50:M,51:M,52:M,53:M,54:M,55:M,57:M,58:M,62:M,65:M,68:M,71:M,73:M,75:M,76:M,77:M,81:M,83:M,84:M,85:M,87:M
1	757143	757219	1	9	5	4	4	3:M,6:M,7:M,8:M,9:M,15:M,16:M,18:M,19:M,20:M,21:M,22:M,23:M,28:M,30:M,32:M,34:M,36:M,37:M,39:M,42:M,51:M,54:M,55:M,59:M,61:M,63:M,65:M,68:M,70:M,73:M
1	757239	757308	1	43	1	1	0.301732	0:U,2:U,3:U,4:U,17:U,19:U,21:U,22:U,24:U,25:U,27:U,28:U,32:U,34:U,35:U,36:U,37:U,38:U,39:U,41:U,42:U,46:U,49:U,52:U,55:U,57:U,59:U,60:U,61:U,65:U,67:U,68:U,69:U
1	757230	757299	1	40	1	1	1	2:M,3:M,7:M,9:M,11:M,12:M,13:M,26:M,28:M,30:M,31:M,33:M,34:M,36:M,37:M,41:M,43:M,44:M,45:M,46:M,47:M,48:M,50:M,51:M,55:M,58:M,61:M,64:M,66:M,68:M,69:M
1	757247	757336	1	46	6	6	3.38595	9:U,11:U,13:U,14:U,16:U,17:U,19:U,20:U,24:U,26:U,27:U,28:U,29:U,30:U,31:U,33:U,34:U,38:U,41:U,44:U,47:U,49:U,51:U,52:U,53:U,57:U,59:U,60:U,61:U,63:U,66:U,67:U,71:U,72:U,73:U,74:U,76:U,77:U,78:U,80:U,81:U,86:U
1	757204	757273	1	31	1	1	0.53374	0:M,2:M,4:M,7:M,9:M,12:M,16:M,17:M,28:M,29:M,33:M,35:M,37:M,38:M,39:M,52:M,54:M,56:M,57:M,59:M,60:M,62:M,63:M,67:M,69:M
1	757193	757280	1	26	3	2.66667	2.66667	1:M,4:M,5:M,9:M,11:M,13:M,15:M,18:M,20:M,23:M,27:M,28:M,39:M,40:M,44:M,46:M,48:M,49:M,50:M,63:U,65:U,67:U,68:U,70:U,71:U,73:U,74:U,78:U,80:U,81:U,82:U,83:U,84:U,85:U,87:U
1	757255	757343	1	50	6	5	0.145978	1:M,3:M,5:M,6:M,8:M,9:M,11:M,12:M,16:M,18:M,19:M,20:M,21:M,22:M,23:M,25:M,26:M,30:M,33:M,36:M,39:M,41:M,43:M,44:M,45:M,49:M,51:M,52:M,53:M,55:M,58:M,59:M,63:M,64:M,65:M,66:M,68:M,69:M,70:M,72:M,73:M,78:M,82:M,83:M,84:M,86:M,87:M,88:M
1	757152	757231	1	15	2	1.66667	2.2916	0:M,6:M,7:M,9:M,10:M,11:M,12:M,13:M,14:M,19:M,21:M,23:M,25:M,27:M,28:M,30:M,33:M,42:M,45:M,46:M,50:M,52:M,54:M,56:M,59:M,61:M,64:M,68:M,69:M
1	757165	757254	1	20	2	2	2	0:M,1:M,6:M,8:M,10:M,12:M,14:M,15:M,17:M,20:M,29:M,32:M,33:M,37:M,39:M,41:M,43:M,46:M,48:M,51:M,55:M,56:M,67:M,68:M,72:M,74:M,76:M,77:M,78:M
1	757177	757246	1	23	1	0.666667	0.763296	0:M,2:M,3:M,5:M,8:M,17:M,20:M,21:M,25:M,27:M,29:M,31:M,34:M,36:M,39:M,43:M,44:M,55:U,56:U,60:U,62:U,64:U,65:U,66:U
